Vereinsname,Land,"aktueller Marktwert",Ablösesummen,Differenz,Durchschnittsalter
"Pfalz Weiden",Deutschland,1322095634,365851457,956244177,26.04
"FC Mytilene 1995",Griechenland,1153603513,582115122,571488391,26.39
"Gaz Pskov",Russland,833125064,460996805,372128259,24.91
"CD Málaga",Spanien,1377987074,1026657195,351329879,24.21
"Latium Rom",Italien,988435529,664811930,323623599,25.78
"FS Brøndby",Dänemark,996980947,702463928,294517019,23.48
"Parathanikaos Athen",Griechenland,544010564,251256851,292753713,26.44
"Sportfreunde Spielberg",Deutschland,698558891,410246615,288312276,23.00
"Športový Trenčín",Slowakei,823567132,549659906,273907226,24.78
"SV Rapperswil-Jona",Schweiz,366962209,96470484,270491725,22.92
"Aias Amsterdam FK",Niederlande,649002973,382964915,266038058,24.35
"Victória Estoril",Portugal,422741043,159916819,262824224,27.22
"Breisgauer SV",Deutschland,1178961193,918329957,260631236,24.58
"Inverness City",Schottland,414315227,167838207,246477020,26.91
"VfB Pyrbaum",Deutschland,452019029,210096023,241923006,23.30
"RSV Lingen",Deutschland,277119653,50209202,226910451,25.88
"Holstein Flensburg",Deutschland,592351878,365983487,226368391,25.14
"Germania Paris",Frankreich,1090275996,869142971,221133025,25.44
"DFC Fortuna Berlin",Deutschland,512745893,292371204,220374689,25.29
"AS Jerez",Spanien,611464070,394003315,217460755,23.45
"SC Hasselt-Kermt",Belgien,381364110,175687103,205677007,23.17
"Žaugija Vilnius",Litauen,336858091,131978915,204879176,25.29
"Dynamo Zwickau",Deutschland,661308048,456952603,204355445,25.44
"Ratinger SC 1905",Deutschland,339934105,146985372,192948733,24.67
"Maastrichter FC",Niederlande,416894813,224378453,192516360,24.65
"SSC Oldenburg",Deutschland,373788467,182465431,191323036,23.24
"SAK Akureyri",Island,487689217,301295271,186393946,24.64
"Borussia Bautzen",Deutschland,446225432,260920030,185305402,24.46
"Uskeris Utena",Litauen,364420457,181060334,183360123,26.47
"SSV Napoli",Italien,537148658,354538638,182610020,25.25
"Sportiva Novara",Italien,294658949,112191668,182467281,25.89
"SC Torpedo Dresden",Deutschland,488449449,307060815,181388634,23.84
"Eintracht Bochum",Deutschland,450584159,271822891,178761268,24.13
"Royal Madrid",Spanien,732700173,555142308,177557865,24.00
"FK Raptor Wien",Österreich,365322661,195053176,170269485,26.87
"Duisburg Zebras",Deutschland,741397096,571753480,169643616,24.35
"SW Bocholt",Deutschland,189925690,24006169,165919521,26.35
"SSC Kallithea",Griechenland,628544101,463769854,164774247,24.65
"FFC Malchow",Deutschland,196250009,32239690,164010319,26.19
"Berlin United",Deutschland,509128429,348831054,160297375,23.76
"Red Wings Salzburg",Österreich,512263014,353061191,159201823,23.90
"Liverpool Reds",England,540250761,381906846,158343915,24.35
"Fryslân Heerenveen",Niederlande,570802961,413121541,157681420,23.60
"Borussia Wegberg",Deutschland,241514055,84744646,156769409,26.74
"Leicester Town",England,381419070,228369073,153049997,25.21
"Union Unterhaching",Deutschland,225565910,78688318,146877592,23.28
"Goloboseray FK",Türkei,456684923,311404097,145280826,25.79
"FC Brinkum",Deutschland,295101927,149848885,145253042,25.33
"VfB Chemnitz",Deutschland,424241813,279386051,144855762,24.84
"Hull Tigers",England,537012174,395697720,141314454,25.50
"KF Lamia 1965",Griechenland,230309127,91615183,138693944,27.87
"HSV Rathenow",Deutschland,352384680,216553367,135831313,23.17
"Madeíro Funchal",Portugal,524653092,390350387,134302705,28.63
"Lippstadter FC",Deutschland,242524642,110370725,132153917,24.65
"Københavner FK",Dänemark,492442958,361423681,131019277,25.44
"GdL Leipzig",Deutschland,254550965,124689089,129861876,24.20
"Kriminalno Split",Kroatien,272944712,144654262,128290450,25.34
"Stuttgarter Schützen",Deutschland,209995755,81719180,128276575,23.04
"Manchester Town",England,530244949,402164412,128080537,24.09
"Kesımboşaspar FK",Türkei,176241544,51117135,125124409,21.33
"KB Sarıyer",Türkei,411228697,286242710,124985987,23.57
"Barnet Union",England,537096006,412382040,124713966,25.29
"Chelsea Soccer",England,566748746,444456646,122292100,25.72
"Rotherham County",England,184289318,62321748,121967570,26.04
"1.SSV St. Pauli",Deutschland,290318099,168425948,121892151,24.14
"Eltersdorfer SV",Deutschland,216507143,95047949,121459194,23.74
"Eintracht Osnabrück",Deutschland,271718235,150452958,121265277,20.74
"VC Unión Llevante",Spanien,328478604,207382472,121096132,24.57
"Wunstorfer SV",Deutschland,215943834,96742454,119201380,25.37
"Intra Mailand",Italien,452499995,333585152,118914843,25.13
"FV Schalke 1905",Deutschland,404977120,286326449,118650671,24.16
"FK Gliwice",Polen,176610159,60526448,116083711,22.24
"Olimpios Kerkyra",Griechenland,369355491,254811922,114543569,26.17
"Krayer Kumpels",Deutschland,244683316,132264289,112419027,25.77
"ALS Auxerre",Frankreich,359501138,248107058,111394080,26.55
"RFC Monaco",Frankreich,451729573,340540076,111189497,25.67
"AC Empoli",Italien,321371932,210791722,110580210,25.30
"Norwich Soccer",England,307750287,197605819,110144468,24.55
"FSV Stuttgart",Deutschland,241262455,131704882,109557573,24.12
"TSG Goslar 1923",Deutschland,330990913,221573876,109417037,27.10
"NL Coatbridge Rovers",Schottland,489329022,380390894,108938128,27.17
"Royal Tilburg",Niederlande,386906835,279464827,107442008,25.95
"RCD San Sebastián",Spanien,362404124,255663763,106740361,29.00
"West Bromwich United",England,200786303,95944745,104841558,21.95
"FV Valencia",Spanien,479781311,375273725,104507586,23.24
"Tineret Mioveni",Rumänien,153527299,49726473,103800826,26.09
"SC Dachau",Deutschland,136101673,33843731,102257942,23.56
