Verein,Land,"Jugendspieler in Akademie","Jugendspieler befördert",Transfererlös
"Shumbrock Wanderers",Irland,367,148,1420737883
"POTE Baryssau",Weißrussland,365,136,1168563931
"AC Avranches",Frankreich,313,157,1018644024
"FK Sachsen Aue",Deutschland,333,157,1007244629
"Dinamo Hrodna",Weißrussland,263,124,999806686
"FSV Flensburg",Deutschland,309,158,994642714
"FFC Malchow",Deutschland,340,188,981184389
"Derry United",Irland,231,158,941651468
"FV Budapest",Ungarn,338,180,940284860
"1.SSV St. Pauli",Deutschland,353,184,939295873
"Soda Jönköping",Schweden,361,159,904269481
"Teutonia Alfter",Deutschland,325,178,860447408
"FK Leverkusen",Deutschland,365,171,856032576
"Sportinho Lissabon",Portugal,315,121,837010544
"HSV Kiel",Deutschland,349,147,835181140
"SKK Hamburg",Deutschland,307,182,824640031
"Kufsteiner SSC",Österreich,307,165,821634646
"Friidrott Sundsvall",Schweden,319,147,817141853
"Arsenal Schodsina",Weißrussland,283,123,815612021
"Fótbolti Fjarðabyggð",Island,241,144,810140120
"Intra Gorgonzola",Italien,283,159,806322665
"1. FK Bockenheim",Deutschland,335,154,775447421
"1. FC Karlsruhe",Deutschland,341,158,771641159
"FC Den Haag",Niederlande,366,101,770656262
"Northfleet Conquerors",England,312,154,766983577
"Draak Hertogenbosch",Niederlande,317,99,758455034
"Dynamit Berlin CF",Deutschland,319,166,752040768
"SC Kogge Rostock",Deutschland,370,173,751823734
"IS Norrköping",Schweden,365,182,747413619
"East Ham London",England,332,148,737172521
"CD Elche",Spanien,326,99,736836100
"BW Sandhausen",Deutschland,347,142,725044998
"Uskeris Utena",Litauen,244,172,713929761
"SSV Frankfurt 1897",Deutschland,351,174,712830991
"Fortuna Hennef",Deutschland,330,178,712584146
"Hansa Sudelbe",Deutschland,247,158,710613957
"Eintracht Bochum",Deutschland,357,159,701933058
"Germania Cloppenburg",Deutschland,304,153,700158080
"Başektaş Istanbul",Türkei,302,145,697158272
"Mainzer FC",Deutschland,313,165,694443245
"Isla Krk",Kroatien,222,160,681580789
"CFC Barcelona",Spanien,354,165,679611583
"TuS Darmstadt",Deutschland,346,150,679352645
"HuFC Düsseldorf",Deutschland,312,158,675545429
"SK Utrecht",Niederlande,256,133,671774617
"FKS Athen",Griechenland,278,140,666892631
"SSC Gillingham 1898",England,261,152,665176729
"CV Milan",Italien,358,155,664125425
"FSV Stuttgart",Deutschland,348,146,659990846
"Academic Dublin",Irland,237,140,657608148
"Ciltic Glasgow",Schottland,330,166,651681316
"Royal Madrid",Spanien,318,131,650838357
"Union Schilksee",Deutschland,260,139,650500511
"Unionos Athen",Griechenland,345,132,650479838
"SFV Plauen",Deutschland,281,141,648617692
"FK Fanorbohçe",Türkei,325,187,640898088
"SSV Hoffenheim",Deutschland,353,163,639029493
"JSV Göttingen 1908",Deutschland,316,187,637293725
"HSC Hamburg",Deutschland,364,160,628495855
"FC Mattersburg 1921",Österreich,329,198,626375031
"Spartak Jablonek",Tschechien,305,123,621360940
"Red Lions Millwall",England,226,143,620719652
"Intra Mailand",Italien,339,120,618461363
"CF Eibar",Spanien,342,173,617330026
"ASK Eindhoven",Niederlande,338,133,607786155
"Aias Amsterdam FK",Niederlande,337,130,606044941
"FV Schalke 1905",Deutschland,354,147,605489450
"Canvey Sunshine",England,232,119,598954975
"Royal Lier",Belgien,363,143,593525590
"BSK Odd",Norwegen,350,167,592380633
"RPF Kaiserslautern",Deutschland,351,191,588851194
"Army Fleetwood",England,349,168,588184795
"Juventus Bern",Schweiz,322,145,586152962
"RFC Monaco",Frankreich,279,113,585967672
"FK Gliwice",Polen,279,142,583492031
"SAK Akureyri",Island,239,131,580553555
"Vercelli Calcio",Italien,299,172,579968420
"Manchester Devils",England,341,160,579478856
"Ville Rennes",Frankreich,308,154,576704684
"SK Münchener Löwen",Deutschland,286,150,574949914
"LB Bonfica",Portugal,334,143,574640995
"Hansa Bremen",Deutschland,328,182,569061179
"Union Unterhaching",Deutschland,327,154,568714730
"Lukumotiva Moskva",Russland,312,144,567957711
"Union Drochtersen",Deutschland,332,171,566648364
"Fortuna Heidenheim",Deutschland,272,135,561842281
"WFK Paderborn",Deutschland,209,129,560778359
"ICE Zagreb",Kroatien,274,144,559483403
"Kleeblatt Oberhausen",Deutschland,309,166,557326242
"SK Moskau",Russland,311,177,557204898
"Sporting Boavista",Portugal,267,143,555358174
"Fortuna Essen",Deutschland,204,137,554260341
"AC Sportivo Madrid",Spanien,373,175,552333431
"Esportivo La Coruña",Spanien,301,134,550571044
"Augsburger SV",Deutschland,321,141,550387682
"SAV Sandersdorf",Deutschland,363,165,549897879
"FSV Schwachhausen",Deutschland,211,131,549870301
"AC Parma",Italien,163,135,549566908
"1.FK Hannover ",Deutschland,294,147,544431195
"Eintracht Osnabrück",Deutschland,277,140,541819098
"HS Lyngby",Dänemark,285,126,537512772
"Tapfer Burghausen",Deutschland,284,143,534634945
"Schwarz-Weiß Aalen",Deutschland,238,135,532842667
"VfL Braunschweig",Deutschland,259,114,531417663
"FC Stoke 1865",England,259,119,529981694
"Jizera Boleslav",Tschechien,272,128,526859383
"Robon Kazan",Russland,226,131,525833323
"Bolton Nomads",England,187,135,523561089
"AK Berlin 1917",Deutschland,237,100,523011325
"VfL Velbert",Deutschland,227,154,522904243
"FKV Köln",Deutschland,321,142,522214246
"Rot-Blau Bonn",Deutschland,203,112,517620723
"NFV Meppen",Deutschland,291,173,516954472
"KA Iraklio",Griechenland,276,140,515931795
"VfB Memmingen",Deutschland,309,147,514771673
"Glasgow Randers",Schottland,339,171,512540129
"KFN Novopolotsk",Weißrussland,208,131,512457512
"Elektro Cottbus",Deutschland,224,170,510376898
"Leicester Town",England,293,142,510221092
"FSV Hildesheim",Deutschland,219,132,508442650
"CD Málaga",Spanien,311,160,508325414
"BK Rusenborg",Norwegen,258,153,507918725
"Liverpool Reds",England,333,156,505953919
"SpVgg M´gladbach",Deutschland,363,169,503622076
"Fortuna Norderstedt",Deutschland,250,136,502082783
"Hellas Almelo",Niederlande,170,122,500556148
"SC Torpedo Dresden",Deutschland,279,143,496766009
"FSV Neugersdorf",Deutschland,279,160,496725032
"Olympia Berlin",Deutschland,300,145,494848337
"Derby United",England,304,161,494632280
"SI Uppsala",Schweden,270,110,494428852
"Union Liége FC",Belgien,299,160,493451339
"TSG Aschaffenburg 04",Deutschland,277,170,491570438
"CP London Eagles",England,199,123,491496837
"SWBH Villingen",Deutschland,278,122,489100370
"FVB Larnaka",Zypern,292,151,483251009
"Breisgauer SV",Deutschland,241,119,482590305
"Swindon County",England,334,127,479920524
"Unión Madeira",Portugal,309,151,478166207
"HSV Frankfurt",Deutschland,272,169,477351635
"Sempedoria Genua",Italien,354,145,475315810
"Saarbrückener SC",Deutschland,363,144,472106840
"SSC Erfurt",Deutschland,284,95,470777448
"Sheffield Swords ",England,274,67,469749385
"HSV Rathenow",Deutschland,331,179,467652005
"FK Aberdeen 1904",Schottland,310,157,466714768
"FV Valencia",Spanien,338,194,465608411
"CS Villareal",Spanien,308,156,460133785
"TSV Berlin 1905",Deutschland,345,167,459977837
"Oxford Bulls",England,197,138,458095206
"Hansa Barmbek",Deutschland,238,129,457819279
"RCD L’Hospitalet",Spanien,275,167,457232579
"Speertak Rotterdam",Niederlande,202,133,456338235
"Inter Eichstätt",Deutschland,326,162,455273754
"Lazio Albano",Italien,235,147,454639363
"Toscana Pisa",Italien,219,133,453810031
"US Mallorca",Spanien,240,128,452303006
"AC Palermo ",Italien,164,80,451471221
"Sportivo Trapani",Italien,352,142,450069968
"Latium Rom",Italien,291,115,447923488
"SSV Halberstadt 98",Deutschland,212,123,445737160
"TuS Nordhausen",Deutschland,247,141,445054394
"Germania Pohlheim",Deutschland,207,143,443945874
"FV Porto",Portugal,192,106,443389717
"BSC Grohn",Deutschland,215,123,441514502
"Ballsport Dortmund",Deutschland,368,108,439408956
"1. FV Würzburg",Deutschland,248,149,437865646
"ETSV Schonnebeck",Deutschland,205,145,437482256
"SSV Napoli",Italien,335,180,437257599
"Wattenscheider Kickers",Deutschland,221,109,435981869
"Emilia Bologna",Italien,201,138,434542155
"Preußen Unterföhring",Deutschland,156,111,433517429
"SC St. Southampton",England,218,113,433499059
"FC Roma",Italien,280,142,432541374
"BK Djurgårdens",Schweden,206,142,432490783
"Herakles Thessaloniki ",Griechenland,193,149,431923975
"Íþróttir Hafnarfjörður",Island,198,130,431759570
"1. FC Bremer Neustadt",Deutschland,263,127,431045135
"FCU Haibach",Deutschland,180,110,430785591
"Wimbledon Soccer",England,193,106,425781094
"Vík Ólafsvík 1927",Island,318,181,425549527
"Luton United",England,215,118,425365864
"Germania Paris",Frankreich,340,146,423045751
"Wolverhampton Town",England,143,114,422414806
"Sportiva Tondela",Portugal,252,119,421876215
"Italia Wolfsburg",Deutschland,154,122,416812373
"Athletic Athlone",Irland,340,178,409876158
"FC Aalborg",Dänemark,284,153,409722424
"HFC Rhynern",Deutschland,195,94,407878080
"FK Ioannina",Griechenland,215,147,405383568
"AFK Anif",Österreich,184,120,404885266
"CA Girona",Spanien,221,105,399766836
"Duisburg Zebras",Deutschland,228,139,398516375
"FV Bari",Italien,157,85,398404404
"AK Gomel",Weißrussland,210,131,397213730
"Züricher SK",Schweiz,188,106,395454593
"Manchester Revolution",England,218,169,395185438
"Cardiff Dragons",England,246,153,394676110
"Dinamyt Minsk",Weißrussland,199,109,391860443
"FKS Kópavogur",Island,215,149,391544674
"DSV Oberkassel",Deutschland,276,137,391539843
"Rot-Weiß Ingolstadt",Deutschland,229,131,390337525
"Atlético Albacete",Spanien,159,151,390059790
"Union Rosenheim",Deutschland,270,131,385436628
"AS Cello Verona",Italien,223,150,384179867
"Boomian FC",Irland,233,139,382428369
"FC Boşakşehir",Türkei,263,136,382399086
"FV Nürnberg 1907",Deutschland,238,115,382170841
"NJL Farum",Dänemark,252,135,381987256
"Burnley Clarets",England,148,123,381240591
"Royal Sevilla",Spanien,283,162,379170691
"VfB Chemnitz",Deutschland,295,173,378369737
"Union Magdeburg",Deutschland,234,173,378117170
"FK Nijmegen 1900",Niederlande,257,131,377867382
"Sportsklub Odense",Dänemark,319,120,377232233
"Red Wings Salzburg",Österreich,213,114,377214587
"Sportivo Frosinone",Italien,219,126,374903936
"FVA Hard",Österreich,161,116,374689755
"SV Basel",Schweiz,249,136,374554001
"Dinamo Šibenik",Kroatien,189,134,374475307
"PV Stoke 1875",England,167,123,373982580
"Guiseley United",England,212,135,373870687
"Cork United",Irland,200,148,372565465
"FK Faro",Portugal,163,139,372065297
"DSK Fortuna Wien",Österreich,195,164,371766358
"CS St. Maria de Feira",Portugal,153,130,371433848
"SD Royal Zaragoza",Spanien,145,101,371103331
"Hull Tigers",England,212,133,370087064
"Västra Borås ",Schweden,160,133,369896389
"London Gunners",England,321,137,369694050
"Olympia Marseille",Frankreich,269,143,368693992
"Dundalk Soccer",Irland,252,154,368299448
"Lincoln Boxer",England,147,110,364525569
"Olimpios Piräus",Griechenland,201,126,363574561
"Fiskeri Esbjerg",Dänemark,151,85,361125139
"SSC Oldenburg",Deutschland,225,137,360386411
"Sportivo Alaves",Spanien,228,126,359637551
"FC Halle a.d.Saale",Deutschland,271,105,359610236
"Korčula Blato",Kroatien,134,126,358795771
"FF Gerasdorf",Österreich,141,132,357521538
"Baschko Ufa",Russland,114,106,357159014
