Verein,Land,"Jugendspieler in Akademie","Jugendspieler befördert",Transfererlös
"FS Brøndby",Dänemark,349,191,1062266136
"FC Mytilene 1995",Griechenland,352,130,1055873607
"TSG Goslar 1923",Deutschland,348,134,937453243
"IS Östersund",Schweden,326,166,910412928
"Canvey Sunshine",England,295,159,896256446
"SSC Kallithea",Griechenland,379,121,885946348
"Eintracht Bochum",Deutschland,367,109,852993526
"Preston City",England,383,185,843164331
"RSV Lingen",Deutschland,301,164,842468320
"Latium Rom",Italien,318,194,833240743
"Real Majadahonda",Spanien,352,160,824801935
"Red Wings Salzburg",Österreich,354,142,823675304
"1. FC Karlsruhe",Deutschland,277,138,813317301
"Truro Wildcats",England,258,123,804749409
"FC Brinkum",Deutschland,363,180,802910729
"AC Empoli",Italien,273,148,796870150
"VfB Chemnitz",Deutschland,305,147,790907612
"1.SSV St. Pauli",Deutschland,331,156,784554137
"Berlin United",Deutschland,365,177,783268229
"SC Torpedo Dresden",Deutschland,355,163,777040987
"SpVgg M´gladbach",Deutschland,380,217,767682274
"CD León",Spanien,255,115,754799548
"Mainzer FC",Deutschland,375,113,746824634
"BBC Bissingen",Deutschland,297,154,738381509
"DFC Fortuna Berlin",Deutschland,336,177,738289714
"Racing Tenerife",Spanien,338,162,734662090
"CD Málaga",Spanien,338,118,731020404
"London Gunners",England,367,164,724751291
"SD Granada",Spanien,257,155,721579214
"Hansa Bremen",Deutschland,343,125,719481092
"Inter Senica",Slowakei,259,162,718343469
"Usk Newport",England,314,189,716119965
"Royal Madrid",Spanien,354,188,714375278
"Bavaria Buchbach",Deutschland,262,110,712362296
"VFC Zlaté Moravce",Slowakei,259,131,707301379
"SAK Klagenfurt",Österreich,337,158,697326746
"Sportiva Novara",Italien,334,101,695576163
"1. FV Würzburg",Deutschland,279,143,692494738
"1.FK Hannover ",Deutschland,308,123,685511339
"CV Milan",Italien,334,162,679510170
"TKF 1915 Šamorín",Slowakei,286,163,678645223
"Germania Paris",Frankreich,341,157,672658858
"Brighton Seagulls",England,285,122,669618820
"Športový Trenčín",Slowakei,350,170,664588147
"Aias Amsterdam FK",Niederlande,343,196,664394709
"GH Zürich 1887",Schweiz,211,102,658366218
"SK Münchener Löwen",Deutschland,360,166,656271591
"Duisburg Zebras",Deutschland,369,170,654030659
"SV Porta Trier",Deutschland,272,131,651375974
"Everton Soccer",England,357,121,650163351
"SpVgg Münster 1908",Deutschland,368,177,647687836
"SSC Bremen 1915",Deutschland,282,133,645544263
"Garonne Bordeaux",Frankreich,306,158,644500374
"WFFK Rödinghausen",Deutschland,335,149,643085027
"Hull Tigers",England,271,146,642397650
"Pats Dublin CF",Irland,276,160,639332003
"FK Fanorbohçe",Türkei,323,121,638407816
"Madeíro Funchal",Portugal,299,146,637142865
"Hednesford Unity",England,333,195,636598411
"Borussia Bautzen",Deutschland,339,154,632189130
"SK Austrien Wien",Österreich,317,155,631958807
"Fryslân Heerenveen",Niederlande,362,162,628669265
"Københavner FK",Dänemark,339,159,624060677
"Sedan FAC",Frankreich,338,171,619220216
"FV Nürnberg 1907",Deutschland,294,157,618477403
"SFV Koblenz",Deutschland,320,148,618032908
"Breisgauer SV",Deutschland,310,156,616216541
"Virginia Turin",Italien,333,130,613379188
"RBS Pforzheim",Deutschland,331,145,613098154
"Kleeblatt Oberhausen",Deutschland,302,151,612739643
"Union Unterhaching",Deutschland,221,113,612680290
"FV Porto",Portugal,307,126,612449457
"SSC Halle",Deutschland,333,107,607423703
"Concorde Colmar",Frankreich,305,165,603045386
"Barnet Union",England,317,157,601066059
"Victoria Düsseldorf",Deutschland,315,142,594930204
"Délkeleti Kispest",Ungarn,262,129,590862090
"Lokhtar Donezk",Ukraine,262,138,590117957
"FV Valencia",Spanien,369,123,589156673
"Hansa Barmbek",Deutschland,286,118,587690136
"RFC Monaco",Frankreich,314,141,584314548
"FSV Alm Bielefeld",Deutschland,313,154,582758980
"Ciltic Glasgow",Schottland,344,144,576988189
"KV Lahti",Finnland,293,154,574708116
"FC Roma",Italien,333,116,571724893
"Sachen Markranstädt",Deutschland,292,166,568059455
"BFC Freiburg",Deutschland,289,149,562810863
"FK Raptor Wien",Österreich,317,146,562671537
"Watford Elks",England,333,152,557182320
"Manchester Town",England,328,163,556857399
"HSV Frankfurt",Deutschland,312,149,555020057
"SF Getafe",Spanien,255,157,554965122
"FK Sachsen Aue",Deutschland,313,114,553020072
"Mało Kraków",Polen,352,136,550944895
"FV Sevilla",Spanien,290,146,550481444
"SV Intra Leipzig",Deutschland,235,103,550267379
"AC Cagliari",Italien,303,143,544763785
"Dynamo Zwickau",Deutschland,308,151,540049622
"Borussia Fürth",Deutschland,256,139,539521949
"Maastrichter FC",Niederlande,267,146,538439651
"FC Inter Znojmo",Tschechien,300,144,537002690
"Başektaş Istanbul",Türkei,291,151,536960274
"Blau-Schwarz Mannheim",Deutschland,299,148,536368625
"Wésłav Kraków",Polen,245,165,525346631
"TSG Aschaffenburg 04",Deutschland,287,130,525201611
"NJL Farum",Dänemark,241,150,524476855
"Dundee FK",Schottland,286,147,523011200
"IFK Stømsgudsot",Norwegen,333,159,516328820
"BFV München",Deutschland,362,164,516121129
"FV Vic Plzeň",Tschechien,283,145,515571808
"Spartak Podbrezová",Slowakei,267,165,513991833
"HSV Rathenow",Deutschland,330,170,513796696
"Newcastle Union",England,231,142,512680816
"Red Lions Millwall",England,237,129,507059378
"Chelsea Soccer",England,332,164,502993946
"Manchester Devils",England,375,171,502714150
"FKV Köln",Deutschland,309,153,497476305
"Union Drochtersen",Deutschland,203,121,495178572
"UD Barakaldo",Spanien,247,128,494643474
"AS Oostende",Belgien,375,144,494301630
"Charlton Haddocks",England,250,133,494205643
"Motherwell Soccers",Schottland,295,166,493961116
"ZSK Omsk",Russland,162,153,493696638
"FKPG Saalfelden",Österreich,325,159,492420421
